01,川崎,35.53151778650756,139.69686021530245
02,尻手,35.53142038899476,139.68448586902178
03,矢向,35.53931812870502,139.68042982959875
04,鹿島田,35.5512172157199,139.6750312796439
05,平間,35.561122745954634,139.67114684139483
06,向河原,35.57299688204694,139.66722559364715
07,武蔵小杉,35.576645192754604,139.65904615217698
08,武蔵中原,35.580668872176766,139.6420276365989
09,武蔵新城,35.58705269538836,139.62989040070718
10,武蔵溝ノ口,35.60014062372908,139.6106291352299
11,津田山,35.60357316872255,139.60060272298108
12,久地,35.61043781676315,139.59242328132183
13,宿河原,35.61622940566087,139.5798902660228
14,登戸,35.620787305616176,139.569863853857
15,中野島,35.62990232616643,139.5500089190837
16,稲田堤,35.63478111602383,139.53477141106202
17,矢野口,35.64158947888352,139.52032546183605
18,稲城長沼,35.64453780247687,139.5021196080731
19,南多摩,35.649147690388126,139.48938870314913
20,府中本町,35.666191244600604,139.47711954072383
21,分倍河原,35.66860277478387,139.46841239322484
22,西府,35.67090705750323,139.4573965325324
23,保谷,35.68248105276658,139.44651259811826
24,矢川,35.68607079359506,139.43186875918317
25,西国立,35.69405336951192,139.42441491331275
26,立川,35.698713967130544,139.41372886856436
